channel_id,node1_id,node2_id,capacity,node1_balance,node2_balance,node1_tx_rate,node2_tx_rate,fee_rate_ppm,node1_ttd_hours,node2_ttd_hours,age_days,num_updates,balance_ratio
chan_000000,node_00074,node_00728,1505372,163334,1342038,57724,89202,1396,45370.56,0.01,485,602,0.109
chan_000001,node_00147,node_00848,6935653,4251446,2684207,8088,8792,1527,1180957.22,1.06,713,234,0.387
chan_000002,node_00021,node_00939,2630158,449409,2180749,35291,58486,1171,124835.83,0.03,587,36,0.171
chan_000003,node_00388,node_00509,14524446,1974136,12550310,29826,41814,839,548371.11,0.29,10,1265,0.136
chan_000004,node_00006,node_00082,13057571,322292,12735279,196470,89969,722,0.0,3537577.5,26,1748,0.025
chan_000005,node_00051,node_00166,2072783,1097939,974844,51463,61815,1378,304983.06,0.03,605,4223,0.47
chan_000006,node_00292,node_00556,10950418,5424804,5525614,37728,44793,1610,1506890.0,0.22,443,1995,0.495
chan_000007,node_00124,node_00360,35780224,14400911,21379313,25468,70204,1074,4000253.06,0.13,438,2721,0.402
chan_000008,node_00083,node_00114,78139728,24078378,54061350,8549,35466,707,6688438.33,0.56,709,804,0.308
chan_000009,node_00417,node_00746,924832,203438,721394,15579,119057,749,56510.56,0.0,418,1437,0.22
chan_000010,node_00023,node_00528,7863711,2413798,5449913,61988,118253,1010,670499.44,0.03,360,2423,0.307
chan_000011,node_00583,node_00673,2136886,86139,2050747,75113,104482,762,23927.5,0.02,697,3442,0.04
chan_000012,node_00023,node_00159,5949332,1267427,4681905,8539,42229,610,352063.06,0.04,548,147,0.213
chan_000013,node_00141,node_00566,3817557,2101839,1715718,29725,20899,2024,0.07,476588.33,433,20,0.449
chan_000014,node_00623,node_00783,11696565,4148804,7547761,66768,52389,689,0.08,2096600.28,104,23,0.355
chan_000015,node_00000,node_00205,652412,237155,415257,89850,108591,1238,65876.39,0.01,505,1123,0.364
chan_000016,node_00000,node_00385,1193719,310102,883617,40935,11664,707,0.0,245449.17,425,927,0.26
chan_000017,node_00137,node_00190,33522394,13750920,19771474,18924,39079,1476,3819700.0,0.27,113,51,0.41
chan_000018,node_00066,node_00327,24090279,17467261,6623018,26241,13584,1889,0.38,1839727.22,159,8851,0.275
chan_000019,node_00017,node_00295,48380814,8062566,40318248,34173,35265,946,2239601.67,10.26,23,982,0.167
chan_000020,node_00022,node_00034,3665199,1572676,2092523,38281,14589,475,0.02,581256.39,249,1559,0.429
chan_000021,node_00347,node_00851,6230136,524255,5705881,133513,26623,733,0.0,1584966.94,43,838,0.084
chan_000022,node_00056,node_00516,464998,88573,376425,23963,63149,1567,24603.61,0.0,416,1938,0.19
chan_000023,node_00273,node_00309,2921042,443171,2477871,60628,61253,1263,123103.06,1.1,389,4079,0.152
chan_000024,node_00004,node_00990,7236217,991904,6244313,37200,45255,556,275528.89,0.22,716,1321,0.137
chan_000025,node_00334,node_00901,6792139,2371542,4420597,27988,9056,4801,0.03,1227943.61,421,4013,0.349
chan_000026,node_00855,node_00930,4681249,2712120,1969129,62832,77984,1045,753366.67,0.04,147,231,0.421
chan_000027,node_00022,node_00918,3957244,2445288,1511956,123846,80388,229,0.02,419987.78,457,5217,0.382
chan_000028,node_00038,node_00059,4888998,1225743,3663255,69245,125002,766,340484.17,0.02,204,473,0.251
chan_000029,node_00266,node_00439,2629258,872985,1756273,88637,94855,1458,242495.83,0.08,481,2905,0.332
chan_000030,node_00000,node_00267,7623043,3426676,4196367,27552,42913,760,951854.44,0.08,81,3302,0.45
chan_000031,node_00066,node_00115,5184466,1105034,4079432,50123,13818,682,0.01,1133175.56,170,659,0.213
chan_000032,node_00157,node_00852,13528623,2188913,11339710,18552,13325,1824,0.12,3149919.44,473,262,0.162
chan_000033,node_00173,node_00580,5048014,2554268,2493746,58165,95365,614,709518.89,0.02,600,3258,0.494
chan_000034,node_00414,node_00901,17844401,8634186,9210215,32876,56481,662,2398385.0,0.11,1,1431,0.484
chan_000035,node_00011,node_00219,19195477,10670287,8525190,25160,123037,872,2963968.61,0.02,198,3699,0.444
chan_000036,node_00011,node_00585,1966766,524768,1441998,68333,46037,1141,0.01,400555.0,360,980,0.267
chan_000037,node_00225,node_00462,2484639,1095797,1388842,21492,116607,1106,304388.06,0.0,470,98,0.441
chan_000038,node_00141,node_00926,3553092,678793,2874299,32187,18830,775,0.01,798416.39,560,1077,0.191
chan_000039,node_00001,node_00074,4187490,2533868,1653622,82252,20104,1681,0.01,459339.44,158,2265,0.395
chan_000040,node_00748,node_00752,4565466,706002,3859464,118174,16727,2168,0.0,1072073.33,146,4418,0.155
chan_000041,node_00311,node_00530,2005210,333945,1671265,90439,33163,891,0.0,464240.28,360,1036,0.167
chan_000042,node_00029,node_00967,1516217,344144,1172073,251225,59446,1693,0.0,325575.83,564,1473,0.227
chan_000043,node_00004,node_00009,2098625,813563,1285062,41341,58312,1633,225989.72,0.02,378,855,0.388
chan_000044,node_00089,node_00164,2051892,542688,1509204,57437,60775,894,150746.67,0.13,291,721,0.264
chan_000045,node_00040,node_00883,29882530,5547526,24335004,28673,48380,1308,1540979.44,0.34,56,910,0.186
chan_000046,node_00440,node_00885,5319554,1100695,4218859,20549,60899,1282,305748.61,0.03,283,2242,0.207
chan_000047,node_00522,node_00577,19640951,7511131,12129820,65109,82102,580,2086425.28,0.2,699,1508,0.382
chan_000048,node_00191,node_00229,4147277,2389380,1757897,43280,149949,330,663716.67,0.0,33,362,0.424
chan_000049,node_00454,node_00497,31486483,8815663,22670820,51955,65202,809,2448795.28,0.48,433,151,0.28
chan_000050,node_00217,node_00761,717919,224935,492984,211770,42918,1433,0.0,136940.0,486,355,0.313
chan_000051,node_00027,node_00037,1059196,141118,918078,82007,42353,1369,0.0,255021.67,162,776,0.133
chan_000052,node_00038,node_00173,1089984,619828,470156,44210,24870,990,0.01,130598.89,483,252,0.431
chan_000053,node_00015,node_00623,2788606,1099897,1688709,29740,143892,2033,305526.94,0.0,670,6028,0.394
chan_000054,node_00300,node_00745,2432524,1289764,1142760,150654,18470,701,0.0,317433.33,670,214,0.47
chan_000055,node_00006,node_00455,2440459,321298,2119161,243027,14305,2244,0.0,588655.83,206,870,0.132
chan_000056,node_00081,node_00428,5667029,3592539,2074490,42979,104516,938,997927.5,0.01,363,458,0.366
chan_000057,node_00254,node_00404,30655859,7578283,23077576,50447,88211,1882,2105078.61,0.17,610,807,0.247
chan_000058,node_00000,node_00265,3211964,778708,2433256,12051,64569,777,216307.78,0.01,94,2900,0.242
chan_000059,node_00048,node_00816,4534027,2089208,2444819,22053,86101,563,580335.56,0.01,541,3773,0.461
chan_000060,node_00010,node_00577,630318,106235,524083,72361,160743,423,29509.72,0.0,482,163,0.169
chan_000061,node_00121,node_00646,43468462,10913000,32555462,54394,84131,471,3031388.89,0.3,217,2506,0.251
chan_000062,node_00004,node_00115,3154002,717131,2436871,43183,118816,1645,199203.06,0.01,337,5076,0.227
chan_000063,node_00063,node_00900,18437652,7969149,10468503,104726,32565,1309,0.03,2907917.5,252,817,0.432
chan_000064,node_00427,node_00595,17801564,13781999,4019565,47092,87221,1528,3828333.06,0.03,281,51,0.226
chan_000065,node_00239,node_00331,808956,120168,688788,52031,214305,1020,33380.0,0.0,629,395,0.149
chan_000066,node_00371,node_00590,6697955,4282078,2415877,22250,116742,1361,1189466.11,0.01,183,1960,0.361
chan_000067,node_00062,node_00469,21408128,7570920,13837208,61622,37210,1074,0.09,3843668.89,401,678,0.354
chan_000068,node_00015,node_00805,1453816,118930,1334886,170546,28477,1593,0.0,370801.67,316,2313,0.082
chan_000069,node_00021,node_00373,2976513,370988,2605525,125126,37495,515,0.0,723756.94,548,213,0.125
chan_000070,node_00506,node_00657,1572909,155139,1417770,27254,167821,735,43094.17,0.0,514,1098,0.099
chan_000071,node_00302,node_00429,1322506,130322,1192184,45131,59017,1035,36200.56,0.02,441,160,0.099
chan_000072,node_00020,node_00388,2594572,896721,1697851,97106,129535,1660,249089.17,0.01,445,750,0.346
chan_000073,node_00021,node_00312,10980924,6962126,4018798,14626,42101,1148,1933923.89,0.04,429,2415,0.366
chan_000074,node_00494,node_00881,1771734,1014818,756916,13642,122916,846,281893.89,0.0,138,2232,0.427
chan_000075,node_00189,node_00640,4860665,1089554,3771111,96820,191328,781,302653.89,0.01,7,1780,0.224
chan_000076,node_00032,node_00144,32829438,13798653,19030785,78757,26709,708,0.07,5286329.17,198,568,0.42
chan_000077,node_00125,node_00315,4612748,791367,3821381,60554,69291,1253,219824.17,0.12,600,5397,0.172
chan_000078,node_00015,node_00327,931400,243398,688002,196678,86373,900,0.0,191111.67,427,1545,0.261
